VideoFile,DropletID,DetectionType,WindowIndex,FrameStart,FrameEnd,TimeStart_s,TimeCenter_s,TimeEnd_s,MeanGray,ContrastStd,BrightMean,BrightFrac,BGMean_raw,BGStd_raw,BGMean_norm,BGStd_norm
VIDEO-2026-03-10-10-04-20.mp4,1,A,1,1081,1140,36,36.9833333333333,37.9666666666667,150.197926046429,27.8009416985713,207.912963609626,0.102564102564103,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,2,A,1,1081,1140,36,36.9833333333333,37.9666666666667,149.65322772294,31.8707345168416,217.457624321739,0.0975609756097561,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,3,A,1,1081,1140,36,36.9833333333333,37.9666666666667,148.704571692494,32.7995880377347,220.834959740397,0.103174603174603,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,4,A,1,1081,1140,36,36.9833333333333,37.9666666666667,152.093438355984,26.9947019815574,212.186922593573,0.102941176470588,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,5,A,1,1081,1140,36,36.9833333333333,37.9666666666667,140.189844361824,33.7103037284951,216.878192500751,0.102362204724409,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,6,A,1,1081,1140,36,36.9833333333333,37.9666666666667,140.869322288056,33.5470238472683,210.426011043379,0.0982658959537572,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,7,A,1,1081,1140,36,36.9833333333333,37.9666666666667,139.709989681358,35.7185948193639,225.690459531016,0.103174603174603,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,8,A,1,1081,1140,36,36.9833333333333,37.9666666666667,147.565714256833,30.356826687911,211.154483665322,0.0985915492957746,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,9,A,1,1081,1140,36,36.9833333333333,37.9666666666667,153.428371481183,27.6775578196628,209.566467567343,0.1,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,10,A,1,1081,1140,36,36.9833333333333,37.9666666666667,142.452723173515,34.5548657814613,220.838618895442,0.103174603174603,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,11,A,1,1081,1140,36,36.9833333333333,37.9666666666667,142.143382638448,34.4391514893858,221.912611289935,0.101694915254237,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,12,A,1,1081,1140,36,36.9833333333333,37.9666666666667,138.783214257048,36.0277172927292,225.004818183151,0.103448275862069,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,13,A,1,1081,1140,36,36.9833333333333,37.9666666666667,154.704114381568,26.7622581407833,211.85251626723,0.0982658959537572,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,14,A,1,1081,1140,36,36.9833333333333,37.9666666666667,149.97789523226,32.9638001895362,221.395167055931,0.100719424460432,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,15,A,1,1081,1140,36,36.9833333333333,37.9666666666667,144.599771162453,38.0873240775404,232.138282906519,0.102362204724409,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,16,A,1,1081,1140,36,36.9833333333333,37.9666666666667,145.209032954605,35.3326523007043,221.710361454009,0.0993788819875776,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,17,A,1,1081,1140,36,36.9833333333333,37.9666666666667,147.529935256741,36.281736383935,228.794535864842,0.0991735537190083,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,18,A,1,1081,1140,36,36.9833333333333,37.9666666666667,159.021734077777,32.285793235125,226.227963324147,0.0993788819875776,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
VIDEO-2026-03-10-10-04-20.mp4,19,A,1,1081,1140,36,36.9833333333333,37.9666666666667,146.68225403326,37.4660982522379,233.429173755295,0.0979020979020979,147.795365937328,23.4893684482133,148.209227049875,23.4799558217782
